-70.7887500 12.50250 1.80107 28.5
-54.7657500 1.750000 1 30.250
49.4715000 8.735000 1.80610 23.500
-266.403500 2.667500 1 23.500
-68.8120000 2.012500 1.80518 20.750
-549.828250 0.2500000 1 23.500
17.4030000 5.000000 1.80610 15.250
16.9132500 2.015000	1.80518 12.250
11.6610000 8.150000 1 10.125
0.00000000 3.140000 0.0 8.421
-15.2165000 1.267500 1.84666 8.750
20.3302500 10.39000 1.88300 13.250
-22.8180000 0.2625000 1 13.250
38.9775000 5.917500 1.88300 15.500
-154.698500 0.2600000 1 15.500
22.5867500 9.247500 1.80610 14.000
49.7685000 0 1 10.500
