1.871401980  0.267777879  1.730300080  0.011217192  0.0505134972 147.10650500
0 0 0 0 0 0
1.935028270  0.236629350 1.262913440  0.010400141  0.0447505292  87.43756900
0 0 0 0 0 0
1.779317630 0.338149866 2.087344740 0.013371418 0.0617533621 174.01759000
0 0 0 0 0 0
1.935028270  0.236629350 1.262913440  0.010400141  0.0447505292  87.43756900
1.779317630 0.338149866 2.087344740 0.013371418 0.0617533621 174.0175900
0 0 0 0 0 0
0 0 0 0 0 0
1.875438310 0.373757490 2.300017970 0.014174952 0.0640509927 177.38979500
1.964850750 0.475231259 1.483601090 0.009820602 0.0344713438 110.73986300
0 0 0 0 0 0
1.964850750 0.475231259 1.483601090 0.009820602 0.0344713438 110.73986300
0 0 0 0 0 0
1.935028270  0.236629350 1.262913440  0.010400141  0.0447505292  87.43756900
0 0 0 0 0 0
